brand,product,name,specific,lightness,hex,lightToDark,numbers,id
Urban Decay Cosmetics,Hydromaniac Glowy Tinted Hydrator Foundation,NA,60,0.5294117647,#BF814F,TRUE,60,74
Bite Beauty,Changemaker Supercharged Micellar Foundation,NA,M60,0.762745098,#EBB29A,TRUE,60,75
Catrice,HD Liquid Coverage Foundation,latte macchiato beige,60,0.4823529412,#A67950,TRUE,60,59
ColourPop,Pretty Fresh Foundation,light,60N,0.7470588235,#D7B9A6,TRUE,60,63
Dior,Diorskin Forever Undercover Foundation,light mocha,60,0.4568627451,#AD603C,TRUE,60,69
florence by mills,Like a Light Skin Tint,NA,LM060,0.668627451,#D6A17F,TRUE,60,80
Natasha Denona,Foundation X+,medium,60WY,0.7333333333,#E0B196,TRUE,60,64
Natasha Denona,Transformatte Pore Vanishing Matte Foundation,NA,60WY,0.8019607843,#ECCCAD,TRUE,60,65
SEPHORA COLLECTION,Matte Perfection Powder Foundation,warm toffee,60,0.5529411765,#AF846B,TRUE,60,62
SEPHORA COLLECTION,MicroSmooth Baked Powder Foundation,deep ebony,60,0.4666666667,#9E6D50,TRUE,60,72
ZOEVA,Authentik Skin Natural Luminous Foundation,brave,060N,0.7549019608,#E7BD9A,TRUE,60,82
It Cosmetics,Your Skin But Better Foundation + Skincare,deep neutral,61,0.2745098039,#6A3C22,TRUE,61,73
SEPHORA COLLECTION,10 Hour Wear Perfection Foundation,dark chocolate,61,0.4941176471,#9B6B61,TRUE,61,66
SEPHORA COLLECTION,Best Skin Ever Liquid Foundation,NA,61p,0.4549019608,#9F6C49,TRUE,61,67
It Cosmetics,Your Skin But Better Foundation + Skincare,deep cool,62,0.2607843137,#603725,TRUE,62,73
Clinique,Superbalanced Makeup,porcelain beige,62,0.9784313725,#FAFAF9,NA,62,NA
SEPHORA COLLECTION,Matte Perfection Powder Foundation,toffee spice,62,0.5392156863,#AD7D66,TRUE,62,62
It Cosmetics,Your Skin But Better Foundation + Skincare,deep cool,63,0.3137254902,#673F39,TRUE,63,73
KVD Vegan Beauty,True Portrait Medium Coverage Shake Foundation,tan,63,0.5176470588,#B27E56,TRUE,63,55
SEPHORA COLLECTION,10 Hour Wear Perfection Foundation,sienna,63,0.4764705882,#926761,TRUE,63,66
SEPHORA COLLECTION,Best Skin Ever Liquid Foundation,NA,63P,0.4098039216,#896448,TRUE,63,67
It Cosmetics,Your Skin But Better Foundation + Skincare,deep cool,64,0.3333333333,#644846,TRUE,64,73
SEPHORA COLLECTION,Matte Perfection Full Coverage Foundation,coffee,64,0.5098039216,#98736C,TRUE,64,68
SEPHORA COLLECTION,Matte Perfection Powder Foundation,neutral mocha,64,0.5,#9E7461,TRUE,64,62
Bite Beauty,Changemaker Supercharged Micellar Foundation,NA,M65,0.7529411765,#E8B298,TRUE,65,75
Catrice,HD Liquid Coverage Foundation,bronze beige,65,0.4647058824,#A47349,TRUE,65,59
Natasha Denona,Face Glow Foundation,NA,65 MD,0.3588235294,#7D543A,TRUE,65,81
SEPHORA COLLECTION,10 Hour Wear Perfection Foundation,deep dark ebony,65,0.3078431373,#6A4733,TRUE,65,66
SEPHORA COLLECTION,Best Skin Ever Liquid Foundation,NA,65N,0.3647058824,#805C3A,TRUE,65,67
SEPHORA COLLECTION,10 Hour Wear Perfection Foundation,chestnut,65.5,0.4509803922,#87625F,TRUE,65.5,66
SEPHORA COLLECTION,Best Skin Ever Liquid Foundation,NA,65.5P,0.3254901961,#715035,TRUE,65.5,67
KVD Vegan Beauty,True Portrait Medium Coverage Shake Foundation,tan,66,0.4921568627,#AD7A4E,TRUE,66,55
SEPHORA COLLECTION,10 Hour Wear Perfection Foundation,sandalwood,66,0.3666666667,#745947,TRUE,66,66
SEPHORA COLLECTION,Matte Perfection Powder Foundation,mocha spice,66,0.4784313725,#96705E,TRUE,66,62
SEPHORA COLLECTION,10 Hour Wear Perfection Foundation,light espresso,66.5,0.4568627451,#8D665C,TRUE,66.5,66
SEPHORA COLLECTION,Best Skin Ever Liquid Foundation,NA,66.5N,0.3980392157,#866645,TRUE,66.5,67
